,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
59,200803,0.010141806538149502,2.93213712916551,-0.03767590001811276,0.18490898032811687,0.03885754993687836,0.18652875383962658,0.0,0.27555133489761385
68,200812,0.010196854510281137,2.9307949275367475,-0.010065868144956379,0.019072463136909284,0.01923949981131404,0.032218912923676006,0.0,0.026526524632208393
93,Ward Name=Wanstead,0.010450858743259742,,,,,,,
77,200909,0.010567820626908574,2.674060186939526,-0.06309216185712324,0.15327769352372853,0.0638072301148424,0.15449475566066342,0.0,0.1510334355035018
53,200709,0.010686042573474216,3.244600305295678,0.0016792059267170666,-0.0016348033878212489,0.003727640297359082,0.004786252322742845,0.0,0.0
54,200710,0.011050960412869099,3.143167571958183,-0.03175752243282772,0.08038756719302938,0.03261838664436809,0.08254646813063073,0.0,0.020251242646623258
60,200804,0.011445769952463668,2.6758842475452145,0.0032861081195579194,0.0016200460024684417,0.005247617216686839,0.002722161882888335,0.0,0.0
58,200802,0.011555035435190644,3.1376450147080757,-0.003581505257423036,0.005097534543338526,0.005020494105627292,0.006705769436234594,0.0,0.0
66,200810,0.011724898820517889,3.3957289984572845,-0.040457232766884635,0.09336317183216644,0.04157095370856915,0.09638075616415087,0.0,0.08181423217376393
51,200707,0.011820907481039374,3.4106887125030543,-0.019660412157726362,0.0929158628487558,0.021104502299300925,0.0929158628487558,0.0,0.1366756215275986
79,200911,0.01235809083476276,3.3469350101579853,-0.04896361587564849,0.17077763998813011,0.04973623643608829,0.1723684442581831,0.0,0.19698047430372526
67,200811,0.012541646488297878,3.2608038495259652,-0.04119109231476029,0.10442914530331092,0.04125526969655851,0.105173245732878,0.0,0.0
48,200704,0.013020344944036838,3.274864599976619,-0.006829492799005927,0.00424227307039004,0.007044327380812122,0.0051111505638026244,0.0,0.0
73,200905,0.013081622948087436,3.4318293899443693,-0.04413385306835539,0.165294377958427,0.044473762952809845,0.16625860373904575,0.0,0.2081401128938567
70,200902,0.014017104405286541,3.154707998306398,-0.022550620386874193,0.05073846133970958,0.026324944129557822,0.060740308204135916,0.0,0.030959095831222125
65,200809,0.014169598836673108,3.004327827361224,-0.030996030645140962,0.05791437787398281,0.034402683793566494,0.06187164798015312,0.0,0.046046046244289485
57,200801,0.014512017975356926,3.3231116197891875,0.005392404407965548,-0.009114015327427998,0.006740194013495533,0.01445587710482131,0.0,0.0
78,200910,0.015046837281998557,3.2661115345668805,-0.09685509705566855,0.2147077129083392,0.10004093191546413,0.21670063494579977,0.028072582924547618,0.06902378591820252
75,200907,0.01826183604586397,3.4128918517991766,-0.07022245812908164,0.2135973599129258,0.0768028982575696,0.21673449648806137,0.004508712516321012,0.23724985040830848
80,200912,0.018680282155676096,3.280948875488051,-0.09254222238741963,0.2337532055457118,0.09290601120315925,0.2358141989257173,0.0,0.19147740240185396
81,201001,0.019137707496188563,3.522853493646727,-0.13782819408725708,0.43145343795664476,0.14118873057622144,0.43942650925800325,0.03363106203318883,0.483030740062993
82,201002,0.0392452833030588,3.124289209246272,-0.16206673214219555,0.49605103693029473,0.16662543429148902,0.4980947202705599,0.0,0.46369498031612155
